,author,published_at,updated_at,like_count,text,sentimiento
1768,@marwangoran4055,2024-05-15T12:22:52Z,2024-05-15T12:22:52Z,1,trump is better your to late pack up,0.4404
1769,@warmachine2098,2024-05-15T12:22:25Z,2024-05-15T12:22:25Z,1,Props to you for agreeing to step up. Don’t like the results of your administration but you will have to sharpen your claws quite a bit to beat the man.,0.3506
1770,@Dnn411,2024-05-15T12:21:46Z,2024-05-15T12:21:46Z,0,YES!  Leave out the Cult and toothless sycophants and debate Biden ……Seriously!  Leave the Circus Clowns Spectacle and debate like adults -Trump!   Not in a room full of 13 year old playground bully’s using “fists”instead of “facts and intelligence”.,0.6135
1771,@m4rk3r_x,2024-05-15T12:21:42Z,2024-05-15T12:21:42Z,12,bros memory is so bad that he&#39;s gonna forget to show up 💀,-0.75
1772,@ericvonwiegen5672,2024-05-15T12:21:24Z,2024-05-15T12:21:24Z,1,Joe 24 👍👍,0.0
1773,@Openeyesopenheart42,2024-05-15T12:21:16Z,2024-05-15T12:21:16Z,0,Biden is a criminal,-0.5267
1774,@mairirose5843,2024-05-15T12:20:53Z,2024-05-15T12:20:53Z,6,And I’m all in on these debates….Biden has a million times the intellect and experience of his predecessor. We are there for the whole thing. 🩵💙🩵💙🩵💙🩵💙🩵,0.4588
1775,@ZappyOh,2024-05-15T12:20:32Z,2024-05-15T12:20:32Z,9,What drugs will you be taking for that?,0.0
1776,@dthompson929,2024-05-15T12:20:27Z,2024-05-15T12:20:27Z,5,He&#39;s definitely MY president!!!,0.5538
1777,@lambinwolfsclothing,2024-05-15T12:20:25Z,2024-05-15T12:20:25Z,57,&quot;I hear you&#39;re free on Wednesdays&quot;<br>Literally laughed.<br>Out loud.,0.5106
1778,@jujuracfa7084,2024-05-15T12:19:49Z,2024-05-15T12:19:49Z,6,&quot;I hear you free on Wednesdays&quot;<br>😀😀😀😀😀,0.5106
1779,@innerlocus,2024-05-15T12:19:11Z,2024-05-15T12:19:11Z,0,Betting on Biden and a clown that won&#39;t shut up!,0.0
1780,@mairirose5843,2024-05-15T12:19:09Z,2024-05-15T12:19:09Z,15,My entire family is behind Biden/ Harris. Most of our friends are too. We are true blue always have been always will be. We are blue up and down every ballot at every level. 🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻for President Biden….the only choice for democracy. 💙🩵💙🩵💙🩵💙🩵💙🩵💙🩵💙🩵💙🩵,0.7322
1781,@ardiii746,2024-05-15T12:18:25Z,2024-05-15T12:18:25Z,27,BIDEN 2024 🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸,0.0
1782,@rob2540,2024-05-15T12:17:15Z,2024-05-15T12:17:15Z,1,XD😂😂😂😂 wenseday&#39;s,0.0
