author,published_at,updated_at,like_count,text
@unit6464,2024-05-27T15:50:10Z,2024-05-27T15:50:10Z,1,Trump is like a modern day Elvis. He’s a rock star. Meanwhile senile joe is asleep at the beach
@GG-pr3yo,2024-05-27T15:49:51Z,2024-05-27T15:49:51Z,0,He shortchanged the entire crowd by not doing his signature &quot;dry hump&quot; of the American flag.
@CHHITDaden-nl1zr,2024-05-27T15:47:32Z,2024-05-27T15:47:32Z,0,😂
@SteveFreeman-yo5nb,2024-05-27T15:46:43Z,2024-05-27T15:46:43Z,0,Listen to the billionaire bum plays with hookers take secret documents from the White House only trying to sound to the Russians he buried his wife on the 18th golf course supposedly she fell down the stairs the man&#39;s a turd by the way where is diapers because he&#39;s a stinking that craps in his pants
@beachcomber3036,2024-05-27T15:46:00Z,2024-05-27T15:46:00Z,0,🚗 👨‍👩‍👧‍👦👨‍👩‍👦‍👦👨‍👩‍👧‍👧 🚙 BOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
@KellyMason-vw2bc,2024-05-27T15:45:10Z,2024-05-27T15:45:10Z,1,Trump ❤️🇺🇸🇺🇸
@Nathan-ef3us,2024-05-27T15:44:36Z,2024-05-27T15:44:36Z,0,Can’t wait for Trump to lose again!  Are you all going to storm the Capitol again?<br><br>TWLA<br><br>Trump Will Lose Again!
@KellyMason-vw2bc,2024-05-27T15:44:33Z,2024-05-27T15:44:33Z,1,Fjb
@PleaseHandleRachel,2024-05-27T15:43:49Z,2024-05-27T15:43:49Z,0,HORRRRRIBLE reporting
@BF-27,2024-05-27T15:42:31Z,2024-05-27T15:42:31Z,0,Probably like 200 people there.
@cynthiashaw45,2024-05-27T15:41:18Z,2024-05-27T15:41:18Z,0,Trump won’t win NC.  We don’t support his 2025 agenda.
@denisecase807,2024-05-27T15:39:17Z,2024-05-27T15:39:17Z,0,Don&#39;t lie faux.  That isn&#39;t what happened.
@whyis45stillalive,2024-05-27T15:39:15Z,2024-05-27T15:39:15Z,0,"Wow, no wonder I don&#39;t watch network news. These are not journalists, they&#39;re mouthpieces, for MAGA.<br><br>45 needs to start a GoFundMe. For a plane ticket, to leave the country, when he loses."
@BlessYourHeart13,2024-05-27T15:38:41Z,2024-05-27T15:38:41Z,1,Richard Childress Racing is my new favorite team!<br><br>3 Austin Dillon 🏁 &amp; 8 Kyle Busch 🏁
@ljs444,2024-05-27T15:38:20Z,2024-05-27T15:38:20Z,0,U.S. should deport Democrats that hate our county at least this people want to be here. they should work like we do and pay tax like we do. I think we should let Democrats make the choose for ever 1 Democrat the leaves the United States 1 immigrant gets to stay. Democrats are for immigrant then this shouldn&#39;t be a problem.
@user-dt1xh4pg9b,2024-05-27T15:38:12Z,2024-05-27T15:38:12Z,1,Trump for a body bag 2024 FDTAHS
@cliffwhite-hk7nh,2024-05-27T15:38:00Z,2024-05-27T15:38:00Z,0,"I’d hardly call it roaring , more like a yawn 🦁"
@user-dt1xh4pg9b,2024-05-27T15:37:13Z,2024-05-27T15:37:13Z,1,A bunch of cheering dumb asses FDTAHS
@user-vq2my3qm3m,2024-05-27T15:33:29Z,2024-05-27T15:33:29Z,0,Moronic Assholes Gathering Again 🤣
